車種	メーカー	全長(mm)	全幅(mm)	全高(mm)
ソリオHV	SUZUKI	3,710	1,625	1,745
シエンタ	トヨタ	4,260	1,695	1,675
フィット	ホンダ	3,955	1,695	1,550
ノート	NISSAN	3,990	1,690	1,535
ロッキー	ダイハツ	3,995	1,695	1,620
ヴィッツ	トヨタ	3,945	1,695	1,500
カローラアクシオ	トヨタ	4,400	1,695	1,460
ライズ	トヨタ	3,995	1,695	1,620
アクア	トヨタ	4,050	1,695	1,455
ヤリスクロス	トヨタ	4,180	1,765	1,560
ヴェゼル	ホンダ	4,330	1,770	1,605
C-HR	トヨタ	4,385	1,795	1,550
ハリアー	トヨタ	4,740	1,855	1,660
フォレスター	スバル	4,640	1,815	1,715
CX-5	マツダ	4,575	1,845	1,690
ヴォクシー	トヨタ	4,695	1,730	1,895
MAZDA2	マツダ	4,080	1,695	1,500
MAZDA3	マツダ	4,460	1,795	1,440
