機種名	発売	iPadOS	液晶サイズ	本体サイズ
iPad	2010年4月	3.2 ～ 5.1.1	9.7インチ	W189.7×H242.8×D13.4mm
iPad (第2世代)	2011年4月	4.3 ～ 9.3.5	9.7インチ	W185.7×H241.2×D8.8mm
iPad (第3世代)	2012年3月	5.1 ～ 9.3.5	9.7インチ	W185.7×H241.2×D9.4mm
iPad (第4世代)	2012年11月	6.0 ～ 10.3.4	9.7インチ	W185.7×H241.2×D9.4mm
iPad (第5世代)	2017年3月	10.2.1 ～	9.7インチ	W169.5×H240×D7.5mm
iPad (第6世代)	2018年3月	11.3 ～	9.7インチ	W169.5×H240×D7.5mm
iPad (第7世代)	2019年9月	13.1 ～	10.2インチ	W174.1×H250.6×D7.5mm
iPad (第8世代)	2020年9月	14.1 ～	10.2インチ	W174.1×H250.6×D7.5mm
iPad (第9世代)	2021年9月	15.0 ～	10.2インチ	W174.1×H250.6×D7.5mm
iPad (第10世代)	2022年10月	16.0 ～	10.9インチ	W179.5×H248.6×D7.0mm
iPad Air	2013年11月	7.0 ～ 12.4.2	9.7インチ	W169.5×H240×D7.5mm
iPad Air (第2世代)	2014年10月	8.1 ～	9.7インチ	W169.5×H240×D6.1mm
iPad Air (第3世代)	2019年3月	12.1.4 ～	10.5インチ	W174.1×H250.6×D6.1mm
iPad Air (第4世代)	2020年9月	14.0 ～	10.9インチ	W178.5×H247.6×D6.1mm
iPad Air (第5世代)	2022年3月	15.0 ～	10.9インチ	W178.5×H247.6×D6.1mm
iPad mini	2012年11月	6.0 ～ 9.3.5	7.9インチ	W134.7×H200×D7.2mm
iPad mini (第2世代)	2013年11月	7.0 ～ 12.4.2	7.9インチ	W134.7×H200×D7.5mm
iPad mini (第3世代)	2014年10月	8.1 ～ 12.4.2	7.9インチ	W134.7×H200×D7.5mm
iPad mini (第4世代)	2015年9月	9.0 ～	7.9インチ	W134.8×H203.2×D6.1mm
iPad mini (第5世代)	2019年3月	12.2 ～	7.9インチ	W134.8×H203.2×D6.1mm
iPad mini (第6世代)	2021年9月	15.0 ～	8.3インチ	W134.8×H195.4×D6.3mm
iPad Pro 9.7インチ	2016年3月	9.3 ～	9.7インチ	W169.5×H240×D6.1mm
iPad Pro 10.5インチ	2017年6月	10.3.2 ～	10.5インチ	W174.1×H250.6×D6.1mm
iPad Pro 11インチ	2018年11月	12.1 ～	11インチ	W178.5×H247.6×D5.9mm
iPad Pro 11インチ(第2世代)	2020年3月	13.4 ～	11インチ	W178.5×H247.6×D5.9mm
iPad Pro 11インチ(第3世代)	2021年5月	14.5 ～	11インチ	W178.5×H247.6×D5.9mm
iPad Pro 11インチ(第4世代)	2022年10月		11インチ	W178.5×H247.6×D5.9mm
iPad Pro 12.9インチ	2015年11月	9.1 ～	12.9インチ	W220.6×H305.7×D6.9mm
iPad Pro 12.9インチ (第2世代)	2017年6月	10.3.2 ～	12.9インチ	W220.6×H305.7×D6.9mm
iPad Pro 12.9インチ (第3世代)	2018年11月	12.1 ～	12.9インチ	W214.9×H280.6×D5.9mm
iPad Pro 12.9インチ (第4世代)	2020年3月	13.4 ～	12.9インチ	W214.9×H280.6×D5.9mm
iPad Pro 12.9インチ (第5世代)	2021年5月	14.5 ～	12.9インチ	W214.9×H280.6×D6.4mm
iPad Pro 12.9インチ(第6世代)	2022年10月	16.0 ～	12.9インチ	W214.9×H280.6×D6.4mm
